region,category,parent,n_descendants,inclusive_query,exclusive_query,inclusive_count,exclusive_count,inclusive_url,exclusive_url,query_date,log10_inclusive_count_p1,norm_inclusive_count,log10_exclusive_count_p1,norm_exclusive_count
parietal cortex,sensory cortex,,1,"((""parietal cortex""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","(((""parietal cortex""[tiab])) NOT ((""posterior parietal cortex""[tiab] OR (""PPC""[tiab] AND (parietal[tiab]))))) AND (""2015""[PDAT] : ""2025""[PDAT])",4886,3445,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22parietal+cortex%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%28%22parietal+cortex%22%5Btiab%5D%29%29+NOT+%28%28%22posterior+parietal+cortex%22%5Btiab%5D+OR+%28%22PPC%22%5Btiab%5D+AND+%28parietal%5Btiab%5D%29%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.689,0.643,3.5373,0.6091
posterior parietal cortex,sensory cortex,parietal cortex,0,"((""posterior parietal cortex""[tiab] OR (""PPC""[tiab] AND (parietal[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])","((""posterior parietal cortex""[tiab] OR (""PPC""[tiab] AND (parietal[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])",1475,1475,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22posterior+parietal+cortex%22%5Btiab%5D+OR+%28%22PPC%22%5Btiab%5D+AND+%28parietal%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22posterior+parietal+cortex%22%5Btiab%5D+OR+%28%22PPC%22%5Btiab%5D+AND+%28parietal%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.1691,0.4796,3.1691,0.4907
auditory cortex,sensory cortex,,0,"((""auditory cortex""[tiab] OR ""primary auditory cortex""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""auditory cortex""[tiab] OR ""primary auditory cortex""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",4057,4057,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22auditory+cortex%22%5Btiab%5D+OR+%22primary+auditory+cortex%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22auditory+cortex%22%5Btiab%5D+OR+%22primary+auditory+cortex%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.6083,0.6176,3.6083,0.6319
visual cortex,sensory cortex,occipital cortex,1,"((""visual cortex""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","(((""visual cortex""[tiab])) NOT ((""primary visual cortex""[tiab] OR ""striate cortex""[tiab]))) AND (""2015""[PDAT] : ""2025""[PDAT])",9247,6116,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22visual+cortex%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%28%22visual+cortex%22%5Btiab%5D%29%29+NOT+%28%28%22primary+visual+cortex%22%5Btiab%5D+OR+%22striate+cortex%22%5Btiab%5D%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.966,0.7301,3.7865,0.6892
primary visual cortex,sensory cortex,visual cortex,0,"((""primary visual cortex""[tiab] OR ""striate cortex""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""primary visual cortex""[tiab] OR ""striate cortex""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",3198,3198,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22primary+visual+cortex%22%5Btiab%5D+OR+%22striate+cortex%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22primary+visual+cortex%22%5Btiab%5D+OR+%22striate+cortex%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.505,0.5852,3.505,0.5987
occipital cortex,sensory cortex,,2,"((""occipital cortex""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","(((""occipital cortex""[tiab])) NOT ((""visual cortex""[tiab]) OR (""primary visual cortex""[tiab] OR ""striate cortex""[tiab]))) AND (""2015""[PDAT] : ""2025""[PDAT])",2405,2127,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22occipital+cortex%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%28%22occipital+cortex%22%5Btiab%5D%29%29+NOT+%28%28%22visual+cortex%22%5Btiab%5D%29+OR+%28%22primary+visual+cortex%22%5Btiab%5D+OR+%22striate+cortex%22%5Btiab%5D%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.3813,0.5463,3.328,0.5418
temporal cortex,sensory cortex,,2,"((""temporal cortex""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","(((""temporal cortex""[tiab])) NOT ((""superior temporal gyrus""[tiab]) OR (""inferior temporal cortex""[tiab] OR ""inferotemporal cortex""[tiab]))) AND (""2015""[PDAT] : ""2025""[PDAT])",3475,2994,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22temporal+cortex%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%28%22temporal+cortex%22%5Btiab%5D%29%29+NOT+%28%28%22superior+temporal+gyrus%22%5Btiab%5D%29+OR+%28%22inferior+temporal+cortex%22%5Btiab%5D+OR+%22inferotemporal+cortex%22%5Btiab%5D%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.5411,0.5965,3.4764,0.5895
inferior temporal cortex,sensory cortex,temporal cortex,0,"((""inferior temporal cortex""[tiab] OR ""inferotemporal cortex""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""inferior temporal cortex""[tiab] OR ""inferotemporal cortex""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",507,507,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22inferior+temporal+cortex%22%5Btiab%5D+OR+%22inferotemporal+cortex%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22inferior+temporal+cortex%22%5Btiab%5D+OR+%22inferotemporal+cortex%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,2.7059,0.334,2.7059,0.3417
superior temporal gyrus,sensory cortex,temporal cortex,0,"((""superior temporal gyrus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""superior temporal gyrus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",3359,3359,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22superior+temporal+gyrus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22superior+temporal+gyrus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.5263,0.5919,3.5263,0.6056
fusiform gyrus,sensory cortex,,0,"((""fusiform gyrus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""fusiform gyrus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",2195,2195,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22fusiform+gyrus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22fusiform+gyrus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.3416,0.5338,3.3416,0.5462
angular gyrus,sensory cortex,,0,"((""angular gyrus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""angular gyrus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",2019,2019,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22angular+gyrus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22angular+gyrus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.3054,0.5224,3.3054,0.5345
